epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.90949,1.05973,1.95555,3.79923,1.75922,0,0.56315,0.30746,0.34089,0.20533,0.2121,0.13134,0.06708,0.01457,1.17641,21.3361,2.51148,1.84228,0,0.0002225,0.0002225,0.0752225
2,13.1981,0.82471,1.37487,1.5059,1.54547,0,0.59507,0.49851,0.5424,0.35059,0.28853,0.34017,0.21525,0.06268,0.87352,9.11109,1.9653,1.5418,0,0.000438922,0.000438922,0.0494389
3,16.4631,0.82874,1.37846,1.46441,1.52696,0,0.53634,0.55224,0.52078,0.33733,0.42793,0.4,0.32778,0.12973,0.78245,3.88105,2.11725,1.48742,0,0.000640072,0.000640072,0.0236401
4,19.7457,0.8175,1.24193,1.39863,1.49786,0,0.61085,0.5576,0.55033,0.36054,0.61297,0.53895,0.5276,0.26654,0.89428,2.56813,1.64134,1.73485,0,0.000801894,0.000801894,0.000801894
5,23.0089,0.81568,1.249,1.29117,1.50993,0,0.49596,0.26269,0.30601,0.20486,0.49596,0.26269,0.29385,0.18096,0.89684,2.33323,2.52204,1.76622,0,0.000772526,0.000772526,0.000772526
6,26.2226,0.81194,1.24935,1.2767,1.50197,0,0.61489,0.49851,0.51582,0.34487,0.60746,0.48504,0.51292,0.32435,0.82854,1.5295,1.71288,1.56027,0,0.000743157,0.000743157,0.000743157
7,29.4645,0.75379,1.16915,1.14372,1.47205,0,0.68882,0.61493,0.65072,0.43248,0.69971,0.60299,0.65789,0.39839,0.83992,1.34257,1.32432,1.55125,0,0.000713789,0.000713789,0.000713789
8,32.6449,0.74596,1.14426,1.04991,1.4606,0,0.63252,0.63284,0.64412,0.44258,0.64816,0.61791,0.64262,0.40198,0.79342,1.44623,1.36803,1.53279,0,0.00068442,0.00068442,0.00068442
9,35.8305,0.72657,1.1588,1.07856,1.43598,0,0.62887,0.65373,0.65024,0.42809,0.62025,0.64478,0.64576,0.35987,0.86569,1.56392,1.35269,1.6657,0,0.000655052,0.000655052,0.000655052
10,39.0038,0.73203,1.16276,1.03566,1.44087,0,0.6946,0.68657,0.70589,0.47822,0.69762,0.68955,0.70352,0.44341,0.81277,1.4837,1.25643,1.5651,0,0.000625683,0.000625683,0.000625683
11,42.2584,0.68756,1.07086,0.98419,1.42643,0,0.57696,0.59847,0.51981,0.36204,0.57667,0.59701,0.5209,0.3222,0.75289,1.43785,1.49265,1.50606,0,0.000596315,0.000596315,0.000596315
12,45.5186,0.67787,1.05374,0.955,1.40641,0,0.70435,0.69254,0.69077,0.47483,0.69088,0.68358,0.68151,0.41727,0.73803,1.32594,1.18707,1.4853,0,0.000566946,0.000566946,0.000566946
13,48.7687,0.67309,1.03264,0.94473,1.39463,0,0.75853,0.71265,0.7604,0.54477,0.75796,0.71343,0.75418,0.49844,0.71433,1.1992,1.07087,1.48346,0,0.000537578,0.000537578,0.000537578
14,52.0627,0.65727,0.98522,0.93369,1.37287,0,0.80448,0.6806,0.74561,0.54365,0.79682,0.67463,0.73551,0.49924,0.68986,1.21528,1.09438,1.45576,0,0.000508209,0.000508209,0.000508209
15,55.2792,0.65669,1.01372,0.88015,1.37246,0,0.70324,0.7403,0.74947,0.54579,0.70324,0.7403,0.73776,0.49447,0.71836,1.22383,1.08298,1.4886,0,0.000478841,0.000478841,0.000478841
16,58.4934,0.65986,1.06162,0.86812,1.39011,0,0.74321,0.71642,0.7601,0.55995,0.75136,0.72165,0.74624,0.50178,0.69298,1.21263,1.03888,1.45359,0,0.000449472,0.000449472,0.000449472
17,61.6683,0.61886,0.97381,0.82516,1.3584,0,0.77167,0.7194,0.76161,0.53818,0.77106,0.72239,0.76057,0.4946,0.72262,1.28366,1.07145,1.50677,0,0.000420104,0.000420104,0.000420104
18,64.931,0.63233,1.00069,0.85929,1.36813,0,0.68361,0.76105,0.75859,0.53666,0.6996,0.76119,0.75664,0.49338,0.72366,1.25691,1.05951,1.46866,0,0.000390735,0.000390735,0.000390735
19,68.1573,0.59678,0.94984,0.79951,1.32709,0,0.75028,0.74328,0.77613,0.56193,0.74109,0.7348,0.7606,0.5029,0.71488,1.24365,1.01184,1.48377,0,0.000361367,0.000361367,0.000361367
20,71.4764,0.59346,0.92934,0.80674,1.3456,0,0.77902,0.73663,0.76527,0.55518,0.77586,0.73365,0.76094,0.50149,0.67739,1.2425,1.0215,1.45338,0,0.000331998,0.000331998,0.000331998
21,75.4412,0.56064,0.90733,0.72041,1.29304,0,0.73621,0.73312,0.76494,0.53556,0.74938,0.70514,0.74533,0.48141,0.71406,1.40588,1.02725,1.4688,0,0.00030263,0.00030263,0.00030263
22,78.5803,0.53059,0.89153,0.67274,1.27823,0,0.80792,0.74078,0.78921,0.58001,0.80923,0.73134,0.79268,0.53112,0.67493,1.19051,0.9594,1.44195,0,0.000273261,0.000273261,0.000273261
23,81.6699,0.52152,0.84292,0.66289,1.27237,0,0.76833,0.7722,0.79069,0.55601,0.76292,0.75522,0.77383,0.50318,0.68609,1.22594,0.96983,1.46683,0,0.000243893,0.000243893,0.000243893
24,84.7571,0.5353,0.86089,0.62601,1.27378,0,0.7623,0.74627,0.77337,0.56258,0.7623,0.74627,0.77126,0.50474,0.70481,1.20788,0.97522,1.50666,0,0.000214524,0.000214524,0.000214524
25,87.8164,0.50342,0.84585,0.62279,1.26043,0,0.80505,0.74627,0.80609,0.59508,0.79644,0.73731,0.79221,0.52634,0.64113,1.20867,0.91327,1.4282,0,0.000185156,0.000185156,0.000185156
26,90.9332,0.48741,0.81462,0.59607,1.24016,0,0.74653,0.7649,0.80599,0.59271,0.74362,0.76192,0.79912,0.52629,0.67033,1.23677,0.90982,1.4504,0,0.000155787,0.000155787,0.000155787
27,93.9904,0.49253,0.81832,0.5693,1.23794,0,0.75868,0.76716,0.80156,0.59207,0.76352,0.75522,0.78571,0.53114,0.66934,1.21866,0.90012,1.46456,0,0.000126419,0.000126419,0.000126419
28,97.0319,0.47733,0.79692,0.55777,1.23314,0,0.77599,0.76418,0.79962,0.60658,0.77296,0.76119,0.79734,0.54783,0.65718,1.20724,0.90019,1.45385,0,9.705e-05,9.705e-05,9.705e-05
29,100.138,0.46719,0.79238,0.5398,1.23389,0,0.78804,0.76578,0.79651,0.60997,0.7819,0.75981,0.78867,0.54904,0.64703,1.21799,0.90623,1.43444,0,6.76815e-05,6.76815e-05,6.76815e-05
30,103.227,0.45367,0.78509,0.5175,1.2124,0,0.79575,0.75595,0.79566,0.60506,0.78953,0.75024,0.78675,0.53705,0.6552,1.23822,0.89933,1.44733,0,3.8313e-05,3.8313e-05,3.8313e-05
