epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,131.775,0.5665,0.86711,0.96267,0.84954,0,0.7235,0.70448,0.77175,0.59385,0.72296,0.70448,0.76841,0.53412,0.55679,0.97618,1.01984,0.89563,0,0.00122648,0.00122648,0.00122648
29,136.433,0.57559,0.87738,0.96804,0.85004,0,0.70062,0.56615,0.65464,0.4942,0.73283,0.55763,0.65291,0.4257,0.65646,1.17088,1.26337,0.93167,0,0.00121017,0.00121017,0.00121017
30,140.881,0.56286,0.85044,0.94623,0.84929,0,0.71564,0.74092,0.76422,0.58119,0.709,0.73275,0.75866,0.5248,0.58985,1.01141,1.00577,0.92653,0,0.00119385,0.00119385,0.00119385
31,145.378,0.58269,0.877,0.90878,0.85265,0,0.68834,0.72354,0.75713,0.5862,0.69313,0.72867,0.76352,0.52687,0.5514,0.94062,1.01902,0.8914,0,0.00117754,0.00117754,0.00117754
32,149.958,0.57985,0.8808,0.93367,0.86827,0,0.65168,0.6512,0.70206,0.52813,0.6943,0.63395,0.70825,0.46984,0.61213,1.05019,1.1231,0.92237,0,0.00116122,0.00116122,0.00116122
33,154.5,0.56289,0.86456,0.92372,0.85062,0,0.66322,0.7222,0.7299,0.56396,0.66982,0.7294,0.73713,0.50722,0.5537,0.97194,1.08563,0.88896,0,0.00114491,0.00114491,0.00114491
34,159.017,0.55158,0.86573,0.92084,0.84445,0,0.63612,0.6948,0.69993,0.51345,0.67664,0.65032,0.70313,0.46186,0.61954,1.04639,1.12436,0.92822,0,0.00112859,0.00112859,0.00112859
35,163.533,0.54439,0.81537,0.9246,0.84301,0,0.56258,0.74549,0.69746,0.51789,0.57243,0.74113,0.70312,0.47152,0.5737,0.98656,1.25159,0.90608,0,0.00111228,0.00111228,0.00111228
36,168.14,0.54077,0.85159,0.87527,0.84268,0,0.64936,0.62695,0.66465,0.50082,0.65193,0.63028,0.66912,0.44325,0.59117,1.05585,1.3009,0.92949,0,0.00109596,0.00109596,0.00109596
37,172.677,0.58704,0.89542,0.96429,0.85897,0,0.58339,0.67232,0.61764,0.45094,0.579,0.66719,0.61427,0.40075,0.68433,1.28508,1.40448,0.96902,0,0.00107964,0.00107964,0.00107964
38,177.246,0.58752,0.89063,0.92623,0.83986,0,0.65926,0.73528,0.73271,0.5517,0.66502,0.74374,0.74176,0.48242,0.63855,1.17571,1.0518,0.93516,0,0.00106333,0.00106333,0.00106333
39,181.765,0.58945,0.93708,0.88613,0.84296,0,0.64884,0.66434,0.65762,0.49862,0.65107,0.66767,0.65674,0.44026,0.65769,1.26813,1.47265,0.95742,0,0.00104701,0.00104701,0.00104701
40,186.356,0.55427,0.87186,0.90028,0.84512,0,0.66475,0.68523,0.72423,0.56344,0.67367,0.69396,0.73989,0.49713,0.57073,0.99336,1.11659,0.90756,0,0.0010307,0.0010307,0.0010307
41,190.95,0.56155,0.87891,0.88277,0.84738,0,0.71414,0.68899,0.75438,0.57726,0.6861,0.72326,0.75444,0.50348,0.58829,1.0211,1.01461,0.92064,0,0.00101438,0.00101438,0.00101438
42,195.491,0.54417,0.84458,0.87476,0.8331,0,0.69786,0.63005,0.69557,0.53184,0.73619,0.60513,0.69508,0.46479,0.63248,1.14552,1.16658,0.94398,0,0.000998067,0.000998067,0.000998067
43,200.01,0.56464,0.8515,0.88457,0.84599,0,0.39142,0.55995,0.37183,0.25845,0.39772,0.56535,0.37941,0.23721,0.77949,1.36961,2.16577,1.06071,0,0.000981752,0.000981752,0.000981752
44,204.617,0.56066,0.85399,0.88862,0.85018,0,0.59636,0.68224,0.66135,0.48298,0.59636,0.68224,0.66273,0.43808,0.6352,1.12754,1.32081,0.94338,0,0.000965437,0.000965437,0.000965437
45,209.195,0.54305,0.8182,0.84288,0.83373,0,0.73056,0.69668,0.76165,0.58246,0.73193,0.6958,0.75958,0.51615,0.58515,1.00776,0.99762,0.91865,0,0.000949121,0.000949121,0.000949121
46,213.795,0.54187,0.83508,0.84279,0.83545,0,0.68658,0.69624,0.72561,0.56399,0.71444,0.66361,0.72763,0.50136,0.5603,0.98706,1.0609,0.90389,0,0.000932806,0.000932806,0.000932806
47,218.462,0.53158,0.83995,0.83778,0.83489,0,0.67497,0.77689,0.7604,0.5796,0.6811,0.78222,0.77055,0.51693,0.56115,0.97526,1.00216,0.9033,0,0.00091649,0.00091649,0.00091649
48,223.022,0.53077,0.83008,0.82924,0.83584,0,0.65673,0.68305,0.69882,0.52504,0.65958,0.67879,0.69176,0.46117,0.6123,1.0944,1.23316,0.94357,0,0.000900175,0.000900175,0.000900175
