epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2865,1.45137,2.76094,3.63775,1.29277,0,0.8355,0.11045,0.19694,0.12562,0.17984,0.02388,0.01743,0.00593,1.73341,74.3846,3.751,1.45034,0,0.00022,0.00022,0.07522
2,13.6203,1.24452,2.03854,1.61565,1.16609,0,0.30617,0.28848,0.23195,0.14073,0.11789,0.03582,0.01151,0.00227,1.70025,37.0285,3.59379,1.46327,0,0.000433996,0.000433996,0.049434
3,16.9112,1.1996,1.85083,1.49007,1.19099,0,0.52692,0.62985,0.55085,0.3408,0.33056,0.3791,0.21236,0.06723,1.2391,8.33127,1.51885,1.22453,0,0.000632899,0.000632899,0.0236329
4,20.1863,1.22968,1.90623,1.5924,1.22123,0,0.6059,0.60597,0.57229,0.36831,0.34037,0.38806,0.22688,0.06128,1.23439,8.03745,1.57748,1.20961,0,0.00079292,0.00079292,0.00079292
5,23.4467,1.14485,1.78088,1.2893,1.14061,0,0.59418,0.60299,0.59139,0.39461,0.60862,0.6,0.59142,0.36846,1.1718,2.27375,1.43559,1.20754,0,0.000763893,0.000763893,0.000763893
6,26.6647,1.13452,1.73532,1.15555,1.15449,0,0.67124,0.64179,0.65129,0.42955,0.66675,0.64503,0.64133,0.362,1.23722,2.3993,1.46554,1.22171,0,0.000734866,0.000734866,0.000734866
7,29.8939,1.06434,1.63634,1.14802,1.1094,0,0.61929,0.60896,0.63398,0.41502,0.63758,0.60896,0.63466,0.38962,1.1543,2.05568,1.42237,1.15682,0,0.000705839,0.000705839,0.000705839
8,33.1109,1.02507,1.61086,1.04814,1.08438,0,0.61735,0.58209,0.5976,0.39089,0.62579,0.58507,0.59567,0.34862,1.21696,2.09615,1.6362,1.17872,0,0.000676812,0.000676812,0.000676812
9,36.3364,1.01833,1.63656,1.04532,1.10172,0,0.7069,0.66866,0.71197,0.49113,0.70694,0.67687,0.70942,0.42905,1.10164,2.08597,1.18317,1.14472,0,0.000647786,0.000647786,0.000647786
10,39.5803,1.03086,1.59507,1.03921,1.09244,0,0.71374,0.61774,0.68786,0.4552,0.70359,0.60896,0.66805,0.3924,1.1495,2.12085,1.45123,1.15923,0,0.000618759,0.000618759,0.000618759
11,42.8142,1.03328,1.58752,1.06427,1.10101,0,0.69762,0.67492,0.69059,0.46607,0.68757,0.66352,0.67945,0.41059,1.08242,2.0065,1.19817,1.12483,0,0.000589732,0.000589732,0.000589732
12,46.0988,0.99107,1.56399,0.9635,1.08069,0,0.73661,0.6806,0.71145,0.50619,0.70468,0.66567,0.69842,0.4369,1.05715,2.20266,1.20659,1.11935,0,0.000560705,0.000560705,0.000560705
13,49.3335,0.9608,1.47017,0.95113,1.08299,0,0.70747,0.71343,0.75357,0.53207,0.71143,0.72537,0.74766,0.49355,1.03104,1.92645,1.06594,1.12347,0,0.000531678,0.000531678,0.000531678
14,52.5728,0.89376,1.37545,0.85202,1.01966,0,0.7443,0.69514,0.73495,0.52258,0.73773,0.68853,0.73735,0.45758,1.05625,1.85045,1.08819,1.11868,0,0.000502652,0.000502652,0.000502652
15,55.8552,0.92317,1.414,0.84084,1.03753,0,0.73905,0.6806,0.74095,0.53396,0.74252,0.68358,0.73484,0.4867,0.973,1.71139,1.02551,1.06909,0,0.000473625,0.000473625,0.000473625
16,59.1235,0.94713,1.43458,0.90591,1.06826,0,0.72055,0.70149,0.73862,0.52978,0.72557,0.69851,0.73396,0.48114,0.95924,1.68455,1.06497,1.06171,0,0.000444598,0.000444598,0.000444598
17,62.3876,0.9068,1.42223,0.92963,1.03248,0,0.74197,0.69552,0.74724,0.54605,0.75257,0.70448,0.75105,0.49872,0.95861,1.67446,1.03636,1.05937,0,0.000415571,0.000415571,0.000415571
18,65.6098,0.87415,1.36801,0.83344,1.03433,0,0.76205,0.70448,0.75104,0.54247,0.75882,0.70149,0.74919,0.49951,0.94215,1.70329,1.04161,1.06656,0,0.000386544,0.000386544,0.000386544
19,68.8093,0.87413,1.39704,0.78314,1.02166,0,0.71961,0.75079,0.77009,0.5499,0.73316,0.74627,0.76695,0.50129,0.97251,1.73871,1.01226,1.06587,0,0.000357518,0.000357518,0.000357518
20,72.0425,0.85051,1.31566,0.76894,1.00485,0,0.72783,0.76716,0.77925,0.55469,0.72956,0.77015,0.77991,0.51249,0.95797,1.66551,0.968,1.08225,0,0.000328491,0.000328491,0.000328491
21,75.2341,0.86403,1.33788,0.77126,1.01914,0,0.77218,0.73134,0.78805,0.57165,0.76804,0.72836,0.77748,0.51543,0.99181,1.75801,0.96305,1.10053,0,0.000299464,0.000299464,0.000299464
22,79.185,0.75529,1.2706,0.68481,0.97483,0,0.76275,0.71343,0.77829,0.56439,0.71504,0.77313,0.76654,0.50212,0.93946,1.69323,0.96471,1.07052,0,0.000270437,0.000270437,0.000270437
23,82.3259,0.7435,1.21205,0.68566,0.97183,0,0.77537,0.74328,0.78208,0.57363,0.77292,0.74328,0.77448,0.51179,0.96407,1.72961,0.92648,1.07118,0,0.00024141,0.00024141,0.00024141
24,85.3907,0.70914,1.17393,0.63183,0.93795,0,0.76857,0.73731,0.78907,0.59106,0.7672,0.73782,0.78495,0.52612,0.92736,1.68219,0.91346,1.06811,0,0.000212384,0.000212384,0.000212384
25,88.5182,0.68453,1.13205,0.6096,0.95026,0,0.79319,0.74925,0.7907,0.58128,0.79624,0.74627,0.78835,0.52331,0.93023,1.68346,0.93414,1.07196,0,0.000183357,0.000183357,0.000183357
26,91.6646,0.69208,1.14154,0.58251,0.94335,0,0.77009,0.74627,0.79264,0.58952,0.77664,0.75771,0.78786,0.53145,0.91817,1.65856,0.90262,1.06068,0,0.00015433,0.00015433,0.00015433
27,94.7541,0.67353,1.09104,0.57977,0.92418,0,0.761,0.76037,0.79448,0.58863,0.7588,0.75522,0.77901,0.52433,0.94254,1.69915,0.90159,1.07417,0,0.000125303,0.000125303,0.000125303
28,97.9084,0.66327,1.10511,0.55978,0.9308,0,0.74643,0.78507,0.79899,0.60355,0.74763,0.7782,0.79045,0.54308,0.92445,1.64549,0.8893,1.07124,0,9.62764e-05,9.62764e-05,9.62764e-05
29,101.021,0.66256,1.14414,0.55642,0.92394,0,0.78176,0.75522,0.79165,0.5981,0.77706,0.74913,0.77856,0.54258,0.92054,1.64563,0.8876,1.07513,0,6.72496e-05,6.72496e-05,6.72496e-05
30,104.068,0.65157,1.09548,0.53368,0.92578,0,0.75029,0.78209,0.79051,0.59854,0.74742,0.7791,0.78399,0.53892,0.91522,1.6641,0.89488,1.06783,0,3.82228e-05,3.82228e-05,3.82228e-05
