epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9799,3.54661,6.63605,12.075,2.88278,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0025,0.0025,0.0775
2,13.1124,3.54925,4.44661,2.38441,3.24386,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0049317,0.0049317,0.0539317
3,16.2215,3.20725,3.82404,2.07907,3.166,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0071918,0.0071918,0.0301918
4,19.266,2.98336,3.5316,1.8266,3.00505,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00901,0.00901,0.00901
5,22.5143,2.9836,3.60716,1.7289,2.93873,0,0.00041,0.00896,0.00021,7e-05,0.00014,0.00299,7e-05,4e-05,nan,nan,nan,nan,0,0.00868,0.00868,0.00868
6,25.8224,2.9488,3.44846,1.67089,2.93355,0,0.00393,0.17015,0.07353,0.02391,0.66667,0.00597,0.08467,0.03772,3.81572,9.67078,inf,6.06334,0,0.00835,0.00835,0.00835
7,29.3551,2.75883,3.33502,1.6591,2.80246,0,0.26456,0.43582,0.27633,0.11233,0.26819,0.44179,0.27328,0.13126,2.87344,4.20326,47.5765,3.26379,0,0.00802,0.00802,0.00802
8,32.6378,2.73122,3.36986,1.69078,2.80843,0,0.50793,0.2,0.20029,0.09355,0.54091,0.21791,0.22465,0.10482,2.61917,3.94032,29.6287,2.95327,0,0.00769,0.00769,0.00769
9,35.9311,2.64994,3.2221,1.60446,2.70888,0,0.37344,0.19104,0.17545,0.07398,0.40503,0.20597,0.19871,0.10297,2.93105,3.99905,18.2603,3.22936,0,0.00736,0.00736,0.00736
10,39.1575,2.59853,3.11027,1.57047,2.68899,0,0.25881,0.27205,0.21134,0.1013,0.29993,0.28358,0.23021,0.12196,2.64813,3.50402,3.18165,2.74822,0,0.00703,0.00703,0.00703
11,42.4252,2.58783,3.17485,1.57965,2.62102,0,0.32569,0.32296,0.25433,0.12499,0.35801,0.32461,0.26394,0.1323,2.65104,4.0367,4.76026,2.90417,0,0.0067,0.0067,0.0067
12,45.6535,2.45586,2.95937,1.4696,2.54781,0,0.4268,0.33731,0.3262,0.16154,0.40488,0.38507,0.33987,0.18294,2.61527,3.31939,2.57115,2.75151,0,0.00637,0.00637,0.00637
13,48.8681,2.50588,3.08652,1.50235,2.57843,0,0.49002,0.33433,0.33572,0.17431,0.49002,0.33433,0.34345,0.17313,2.63116,3.69529,1.86861,2.8135,0,0.00604,0.00604,0.00604
14,52.1429,2.4761,3.08948,1.47248,2.5075,0,0.10445,0.06866,0.03431,0.0157,0.13839,0.07463,0.03874,0.01999,2.87289,4.34088,41.4354,3.0387,0,0.00571,0.00571,0.00571
15,55.3883,2.42856,3.10371,1.49645,2.55233,0,0.05521,0.13731,0.03048,0.01272,0.06481,0.16119,0.03627,0.01494,3.23697,7.22908,5.32877,3.96464,0,0.00538,0.00538,0.00538
16,58.6379,2.45244,3.1136,1.42363,2.50649,0,0.4741,0.07463,0.07761,0.03858,0.4407,0.07164,0.07414,0.03672,2.76059,4.06735,10.0853,2.84356,0,0.00505,0.00505,0.00505
