epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2044,1.93673,3.79445,4.33076,1.10648,0,0.84266,0.07463,0.09517,0.06152,0.54189,0.04776,0.04743,0.01165,2.61938,19.9113,5.19978,1.39118,0,0.000165,0.000165,0.075165
2,13.5071,1.56332,2.61619,1.79899,0.99306,0,0.36535,0.34024,0.27705,0.17763,0.00698,0.00299,0.00023,7e-05,2.03271,55.4658,3.12888,1.10479,0,0.000325567,0.000325567,0.0493256
3,16.7489,1.46451,2.55653,1.70675,0.94261,0,0.65214,0.49807,0.58413,0.3967,0.65605,0.50105,0.58193,0.3333,1.45728,3.56117,2.04158,0.94039,0,0.000474886,0.000474886,0.0234749
4,19.8982,1.56733,2.48104,1.57205,0.97053,0,0.68709,0.53093,0.62679,0.41792,0.69793,0.5403,0.61326,0.34992,1.39534,3.47193,1.54799,0.913,0,0.000595102,0.000595102,0.000595102
5,23.0616,1.45144,2.32121,1.37473,0.93246,0,0.75064,0.53915,0.67908,0.45702,0.73659,0.55522,0.67188,0.38597,1.48215,3.30222,1.45844,0.95013,0,0.00057347,0.00057347,0.00057347
6,26.2887,1.465,2.26058,1.40797,0.9484,0,0.12335,0.6,0.10833,0.06937,0.12148,0.62687,0.10324,0.05689,1.51881,2.93921,7.16607,0.96718,0,0.000551837,0.000551837,0.000551837
7,29.5003,1.34877,2.13931,1.31715,0.92019,0,0.64149,0.61194,0.6375,0.42348,0.61042,0.60805,0.62757,0.36897,1.46892,2.7707,1.55765,0.96159,0,0.000530204,0.000530204,0.000530204
8,32.7619,1.35845,2.09242,1.27393,0.93271,0,0.69504,0.61493,0.64669,0.45315,0.70854,0.62687,0.65652,0.4341,1.37475,2.31666,1.61511,0.94357,0,0.000508572,0.000508572,0.000508572
9,36.0202,1.30577,2.08106,1.25476,0.91435,0,0.73058,0.58806,0.70277,0.48655,0.72277,0.58209,0.68479,0.42907,1.40595,2.50765,1.36187,0.94984,0,0.000486939,0.000486939,0.000486939
10,39.246,1.28865,2.05829,1.21525,0.90459,0,0.73706,0.64776,0.70728,0.48843,0.74893,0.65075,0.70248,0.43424,1.39408,2.52894,1.30607,0.95864,0,0.000465307,0.000465307,0.000465307
