epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.70451,2.39616,4.63415,12.1959,2.45626,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0025,0.0025,0.0775
2,12.8944,2.4837,3.17146,3.10044,2.8722,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00493273,0.00493273,0.0539327
3,16.1466,2.30217,2.84651,2.64899,2.79626,0,0.00037,0.04179,0.00022,7e-05,0,0,0,0,nan,nan,nan,nan,0,0.0071949,0.0071949,0.0301949
4,19.1895,2.20019,2.65138,2.53543,2.68036,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00901604,0.00901604,0.00901604
5,22.3248,2.0965,2.47791,2.22498,2.62529,0,0.33545,0.00597,0.00292,0.00164,0.33545,0.00597,0.00289,0.00138,4.14245,9.20879,18.0195,6.70201,0,0.00868805,0.00868805,0.00868805
6,25.3893,1.98174,2.40337,2.16834,2.54369,0,0.31551,0.06567,0.04014,0.01898,0.32985,0.06866,0.04323,0.02345,2.78927,3.70936,6.08626,3.32555,0,0.00836007,0.00836007,0.00836007
7,28.4651,1.93589,2.37322,2.11274,2.51028,0,0.23622,0.1194,0.07502,0.0386,0.24586,0.12836,0.07769,0.0398,2.86499,4.61455,6.35517,3.76132,0,0.00803208,0.00803208,0.00803208
8,31.5904,1.86674,2.2846,2.10954,2.39977,0,0.00513,0.00299,0.00125,0.00041,0.00799,0.00597,0.00109,0.00049,3.224,4.84877,5.99427,4.12751,0,0.00770409,0.00770409,0.00770409
9,34.6254,1.79069,2.20391,1.90724,2.35584,0,0.37626,0.0209,0.01815,0.01018,0.37626,0.0209,0.01831,0.00932,3.51718,5.49667,5.92653,4.46247,0,0.00737611,0.00737611,0.00737611
10,37.676,1.77483,2.17898,1.99349,2.33922,0,0.00121,0.07164,0.00076,0.0003,0.00066,0.03881,0.00039,0.00016,3.18427,6.09966,6.18099,4.14429,0,0.00704812,0.00704812,0.00704812
11,40.7489,1.74296,2.18224,1.89388,2.3481,0,0.4946,0.26876,0.28958,0.1499,0.53124,0.27064,0.29621,0.14115,2.03001,2.57386,2.92776,2.59991,0,0.00672013,0.00672013,0.00672013
12,43.883,1.70927,2.12087,1.72385,2.19631,0,0.48736,0.38806,0.37541,0.19508,0.50031,0.38806,0.40743,0.20633,1.86227,2.36027,2.59999,2.42682,0,0.00639215,0.00639215,0.00639215
13,47.0777,1.72158,2.21522,1.90999,2.26316,0,0.61261,0.07463,0.07127,0.03671,0.61435,0.07463,0.06788,0.03453,2.33117,4.36652,64.5736,3.17454,0,0.00606416,0.00606416,0.00606416
14,50.1836,1.74881,2.15395,1.87584,2.28504,0,0.68119,0.05075,0.05001,0.03149,0.72126,0.05373,0.05213,0.02946,2.44678,3.37883,15.1266,3.12873,0,0.00573617,0.00573617,0.00573617
15,53.325,1.69158,2.12794,1.81433,2.23632,0,0.54423,0.51684,0.52274,0.28659,0.55569,0.52267,0.54375,0.27278,1.69512,2.34995,1.89141,2.28797,0,0.00540819,0.00540819,0.00540819
16,56.3562,1.65313,2.10017,1.76524,2.1762,0,0.59037,0.54637,0.56133,0.30098,0.61791,0.55821,0.57523,0.30099,1.67288,2.22011,1.80709,2.23255,0,0.0050802,0.0050802,0.0050802
17,59.5141,1.59492,1.98048,1.68265,2.17667,0,0.35099,0.12754,0.09284,0.05749,0.35921,0.13052,0.09599,0.05332,2.3308,3.89198,11.9658,3.22729,0,0.00475221,0.00475221,0.00475221
18,62.6495,1.59196,2.07283,1.65648,2.18519,0,0.57237,0.24478,0.23394,0.14039,0.58548,0.24454,0.24207,0.14838,1.80909,2.43557,4.32271,2.44344,0,0.00442423,0.00442423,0.00442423
19,65.7221,1.5468,2.04815,1.62962,2.11672,0,0.42114,0.46909,0.38989,0.21159,0.44191,0.50746,0.41367,0.23526,1.61882,2.1861,2.10432,2.21054,0,0.00409624,0.00409624,0.00409624
20,68.8065,1.5835,2.04257,1.63839,2.10659,0,0.66869,0.34627,0.38391,0.2363,0.74032,0.36119,0.40779,0.22475,1.6342,2.21793,2.49719,2.23914,0,0.00376825,0.00376825,0.00376825
21,72.6572,1.44002,2.01798,1.6038,2.0677,0,0.32836,0.17015,0.14829,0.08052,0.31867,0.16716,0.14478,0.07646,2.43479,4.62279,4.36084,4.6766,0,0.00344027,0.00344027,0.00344027
22,75.7318,1.45584,2.00217,1.58857,2.06189,0,0.65705,0.15442,0.16071,0.09373,0.64524,0.15202,0.15962,0.09372,1.95309,2.95697,5.8942,2.62029,0,0.00311228,0.00311228,0.00311228
23,78.8496,1.43642,1.98871,1.60611,2.06633,0,0.62908,0.47761,0.53807,0.31676,0.64725,0.49254,0.55326,0.29644,1.54601,2.21064,1.72886,2.14281,0,0.00278429,0.00278429,0.00278429
24,81.9749,1.43875,1.92331,1.50854,2.02247,0,0.5815,0.53731,0.56892,0.3399,0.59765,0.55224,0.58174,0.34095,1.4821,2.02034,1.66261,2.07981,0,0.00245631,0.00245631,0.00245631
25,85.1136,1.45229,1.9529,1.52539,2.02004,0,0.56724,0.50865,0.50169,0.29225,0.55284,0.50448,0.50028,0.26828,1.5971,2.14342,1.92225,2.16417,0,0.00212832,0.00212832,0.00212832
26,88.2098,1.38898,1.93611,1.50618,2.00392,0,0.81445,0.23582,0.24798,0.16419,0.79383,0.22985,0.23808,0.15452,1.76111,2.86375,7.55328,2.39622,0,0.00180033,0.00180033,0.00180033
27,91.2086,1.38502,1.98173,1.4679,2.00844,0,0.60265,0.55821,0.59173,0.36676,0.62198,0.57612,0.60275,0.33881,1.462,1.99997,1.58776,2.0687,0,0.00147235,0.00147235,0.00147235
28,94.3295,1.34211,1.86646,1.4498,1.98561,0,0.54229,0.39403,0.38251,0.23116,0.56467,0.38332,0.38936,0.22739,1.60637,2.57777,4.35742,2.31161,0,0.00114436,0.00114436,0.00114436
29,97.3802,1.30133,1.9254,1.40586,1.93784,0,0.62771,0.54357,0.57791,0.3596,0.63765,0.56206,0.58939,0.33428,1.45235,2.05252,1.69883,2.04362,0,0.000816373,0.000816373,0.000816373
30,100.475,1.32135,1.88141,1.38605,1.9492,0,0.61599,0.57015,0.58814,0.37049,0.63476,0.57612,0.59422,0.36644,1.33162,1.99954,1.61793,1.9174,0,0.000488387,0.000488387,0.000488387
