epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91021,1.45849,2.7892,3.9118,1.20608,0,0.48535,0.09254,0.10566,0.07667,0,0,0,0,1.74527,133.286,4.86166,1.39972,0,0.000225,0.000225,0.075225
2,13.1644,1.21312,2.01097,1.67011,1.09977,0,0.33434,0.35821,0.2886,0.18088,0.11983,0.03582,0.02117,0.00938,1.61598,32.9851,3.12703,1.34187,0,0.000443939,0.000443939,0.0494439
3,16.3826,1.15293,1.88298,1.51343,1.05788,0,0.56605,0.51045,0.54017,0.33727,0.16005,0.21791,0.07854,0.02275,1.36005,13.484,1.72934,1.20939,0,0.000647521,0.000647521,0.0236475
4,19.5756,1.22224,1.8968,1.48294,1.08059,0,0.55437,0.53474,0.54251,0.3461,0.54123,0.51063,0.50542,0.24981,1.21479,3.39325,1.86574,1.08859,0,0.000811405,0.000811405,0.000811405
5,22.786,1.1772,1.76207,1.32703,1.05214,0,0.62052,0.5955,0.61976,0.39593,0.63034,0.55821,0.57846,0.29576,1.22348,3.37432,1.55291,1.1036,0,0.000781873,0.000781873,0.000781873
6,26.0517,1.18899,1.76412,1.32441,1.0785,0,0.64542,0.6,0.60281,0.41411,0.60743,0.56716,0.55806,0.31092,1.14176,2.96524,1.6526,1.05965,0,0.000752341,0.000752341,0.000752341
7,29.2009,1.10661,1.65954,1.27235,1.02974,0,0.71436,0.61215,0.6741,0.46126,0.71532,0.61493,0.66845,0.43515,1.16426,2.13107,1.32013,1.09353,0,0.00072281,0.00072281,0.00072281
8,32.3664,1.04317,1.62806,1.15597,1.01717,0,0.60256,0.53731,0.49289,0.32889,0.595,0.55256,0.48797,0.30704,1.18811,2.08719,1.8442,1.12373,0,0.000693278,0.000693278,0.000693278
9,35.5437,1.02717,1.56757,1.11115,0.99708,0,0.69506,0.5375,0.59235,0.40351,0.68259,0.54328,0.59111,0.37088,1.16951,2.1624,1.66401,1.10411,0,0.000663746,0.000663746,0.000663746
10,38.7732,1.0436,1.59572,1.11883,1.00814,0,0.74596,0.64179,0.71128,0.47605,0.74556,0.65672,0.70591,0.42274,1.1507,2.01852,1.28736,1.06885,0,0.000634215,0.000634215,0.000634215
11,41.9817,0.97921,1.54658,1.10678,0.9782,0,0.80594,0.69254,0.78489,0.55941,0.7991,0.70054,0.78315,0.5139,0.99926,1.76563,1.09998,0.99738,0,0.000604683,0.000604683,0.000604683
12,45.1564,1.01999,1.60439,1.10677,0.99496,0,0.73695,0.6774,0.74125,0.52263,0.74716,0.68803,0.74237,0.46305,1.03315,1.79808,1.18186,1.01052,0,0.000575151,0.000575151,0.000575151
13,48.3115,0.97239,1.50178,1.03322,0.97661,0,0.74359,0.72537,0.75091,0.53669,0.73759,0.71045,0.73567,0.4694,0.97738,1.74088,1.18655,0.9814,0,0.00054562,0.00054562,0.00054562
14,51.4421,0.88995,1.39064,0.96077,0.93923,0,0.73688,0.73731,0.77565,0.57128,0.73986,0.7403,0.7607,0.50021,0.95624,1.7495,1.10959,0.9834,0,0.000516088,0.000516088,0.000516088
15,54.5962,0.92681,1.46258,0.95896,0.9426,0,0.77545,0.69851,0.76342,0.55862,0.77898,0.70489,0.77334,0.50965,0.98573,1.73573,1.10163,0.99248,0,0.000486556,0.000486556,0.000486556
16,57.8058,0.89701,1.45872,0.95709,0.95049,0,0.73001,0.72537,0.75391,0.55586,0.74045,0.71533,0.74906,0.49154,0.97465,1.89984,1.11806,0.98103,0,0.000457024,0.000457024,0.000457024
17,60.9908,0.9159,1.41007,0.95612,0.95361,0,0.79316,0.7326,0.78118,0.56522,0.78892,0.73637,0.77013,0.51632,0.96796,1.69759,1.0361,0.98561,0,0.000427493,0.000427493,0.000427493
18,64.1847,0.87917,1.37589,0.86574,0.94163,0,0.7625,0.71878,0.76784,0.55468,0.79549,0.68505,0.76018,0.48887,1.01676,1.78195,1.12087,1.00882,0,0.000397961,0.000397961,0.000397961
19,67.3418,0.86875,1.3669,0.86085,0.93454,0,0.74757,0.70448,0.76104,0.54384,0.7444,0.70149,0.74971,0.49049,1.05912,1.81184,1.08996,1.05433,0,0.000368429,0.000368429,0.000368429
20,70.483,0.86359,1.34433,0.84073,0.91961,0,0.74255,0.75767,0.77455,0.5603,0.73582,0.74627,0.76192,0.5198,0.98346,1.76693,1.06013,0.99783,0,0.000338898,0.000338898,0.000338898
21,73.6392,0.82845,1.2899,0.80935,0.9001,0,0.76209,0.76716,0.79124,0.57632,0.75616,0.76119,0.77751,0.53114,0.99388,1.78032,1.05857,1.03313,0,0.000309366,0.000309366,0.000309366
22,77.476,0.80986,1.3067,0.77124,0.89895,0,0.73257,0.75224,0.77454,0.56088,0.72133,0.74952,0.7567,0.49858,0.91734,1.72397,1.13455,0.96149,0,0.000279834,0.000279834,0.000279834
23,80.6011,0.78174,1.25044,0.74237,0.88887,0,0.72535,0.78806,0.79291,0.572,0.72017,0.78507,0.77731,0.50335,0.94942,1.82414,1.06793,0.97808,0,0.000250303,0.000250303,0.000250303
24,83.6528,0.76494,1.23077,0.69927,0.87259,0,0.75655,0.73134,0.77862,0.57156,0.7597,0.7403,0.77095,0.51333,0.96376,1.74992,1.03399,0.98897,0,0.000220771,0.000220771,0.000220771
25,86.672,0.7167,1.17625,0.68153,0.85831,0,0.73796,0.7791,0.80553,0.59624,0.75018,0.79104,0.80443,0.53517,0.90765,1.6427,1.00315,0.95838,0,0.000191239,0.000191239,0.000191239
26,89.7457,0.70921,1.17017,0.64248,0.86461,0,0.75743,0.75499,0.8018,0.60339,0.74661,0.76418,0.79649,0.55048,0.86356,1.63704,0.98114,0.93984,0,0.000161707,0.000161707,0.000161707
27,92.8315,0.69292,1.16712,0.62874,0.85191,0,0.74541,0.77313,0.80497,0.59457,0.7465,0.77015,0.79337,0.53275,0.90868,1.70396,0.97821,0.96004,0,0.000132176,0.000132176,0.000132176
28,95.9055,0.67894,1.12885,0.61466,0.84969,0,0.73196,0.78209,0.8063,0.60511,0.75325,0.75522,0.79007,0.54355,0.89692,1.60712,0.95796,0.95848,0,0.000102644,0.000102644,0.000102644
29,98.9707,0.66271,1.14989,0.60775,0.84308,0,0.71193,0.79701,0.79675,0.59848,0.71501,0.79701,0.78826,0.54164,0.89271,1.63845,0.97305,0.95749,0,7.31124e-05,7.31124e-05,7.31124e-05
30,102.103,0.66496,1.10612,0.58477,0.84697,0,0.72734,0.79701,0.79954,0.59736,0.72732,0.7962,0.77929,0.53587,0.88497,1.63654,0.98244,0.9544,0,4.35807e-05,4.35807e-05,4.35807e-05
