epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,84.1925,0.97225,1.4097,1.29639,1.90031,0,0.73802,0.63912,0.68658,0.46572,0.72845,0.63261,0.66653,0.37169,1.16367,2.15689,1.57709,2.111,0,0.00146634,0.00146634,0.00146634
29,86.9887,0.99413,1.48476,1.21254,1.91285,0,0.73881,0.62985,0.70586,0.47938,0.72037,0.6229,0.69866,0.43369,1.16888,1.86154,1.72384,2.10875,0,0.00144658,0.00144658,0.00144658
30,90.0132,0.92865,1.37648,1.18042,1.85138,0,0.73508,0.72239,0.74883,0.50792,0.71969,0.72809,0.73552,0.43405,1.13255,1.83692,1.45534,2.10887,0,0.00142681,0.00142681,0.00142681
31,92.9463,0.9381,1.38363,1.20522,1.85098,0,0.76794,0.68162,0.74084,0.48853,0.77582,0.67463,0.73874,0.45516,1.16084,1.69854,1.52629,2.16687,0,0.00140705,0.00140705,0.00140705
32,95.9216,0.97712,1.43169,1.23767,1.89457,0,0.72973,0.68657,0.7374,0.49805,0.72936,0.69254,0.74205,0.44434,1.13113,1.79987,1.47015,2.10325,0,0.00138728,0.00138728,0.00138728
33,98.7389,0.94636,1.46462,1.21208,1.85372,0,0.75976,0.6597,0.72578,0.51283,0.75709,0.64179,0.70403,0.44386,1.04822,1.84389,1.47214,2.08948,0,0.00136752,0.00136752,0.00136752
34,101.705,0.95929,1.40387,1.20498,1.86184,0,0.7336,0.72239,0.75221,0.51602,0.72191,0.71642,0.74165,0.44671,1.0944,1.79512,1.4299,2.07457,0,0.00134775,0.00134775,0.00134775
35,104.575,0.95789,1.37112,1.17393,1.87525,0,0.79013,0.65075,0.74753,0.48672,0.77019,0.65373,0.73506,0.41657,1.20621,1.79164,1.50521,2.23868,0,0.00132799,0.00132799,0.00132799
36,107.329,0.92517,1.35995,1.14717,1.85792,0,0.82996,0.67021,0.78037,0.53173,0.78951,0.70448,0.76807,0.46553,1.10951,1.82306,1.3707,2.08053,0,0.00130823,0.00130823,0.00130823
37,110.211,0.92995,1.37296,1.16033,1.81276,0,0.79266,0.71045,0.76,0.53627,0.7946,0.71045,0.75653,0.44984,1.05095,1.72458,1.37826,2.08843,0,0.00128846,0.00128846,0.00128846
38,113.038,0.91745,1.34732,1.19793,1.866,0,0.76689,0.74633,0.76089,0.53156,0.75806,0.73891,0.74952,0.47532,1.00658,1.69931,1.35645,2.05327,0,0.0012687,0.0012687,0.0012687
39,116.047,0.87722,1.33813,1.12196,1.82239,0,0.78344,0.69851,0.76953,0.52688,0.71908,0.75522,0.75775,0.4874,1.05201,1.65238,1.37294,2.06208,0,0.00124893,0.00124893,0.00124893
40,118.952,0.87411,1.29849,1.10601,1.83003,0,0.74835,0.75454,0.75424,0.52843,0.74835,0.75454,0.74659,0.473,1.01521,1.69544,1.34294,2.05529,0,0.00122917,0.00122917,0.00122917
41,121.764,0.88136,1.31792,1.11059,1.81877,0,0.74208,0.71286,0.74439,0.52726,0.73836,0.70448,0.73432,0.4464,1.03542,1.77256,1.38483,2.08473,0,0.0012094,0.0012094,0.0012094
42,124.582,0.86626,1.29441,1.05825,1.81223,0,0.76305,0.70175,0.73413,0.51543,0.7546,0.69851,0.73263,0.46091,1.03845,1.78641,1.39569,2.06927,0,0.00118964,0.00118964,0.00118964
43,127.411,0.89301,1.3066,1.04707,1.80921,0,0.7782,0.75408,0.78575,0.54893,0.76764,0.7403,0.77648,0.49839,1.05658,1.66204,1.34244,2.0807,0,0.00116987,0.00116987,0.00116987
44,130.323,0.90064,1.33145,1.10045,1.81153,0,0.81449,0.62687,0.74829,0.5266,0.7519,0.67761,0.75512,0.47169,1.0364,1.65637,1.4477,2.06639,0,0.00115011,0.00115011,0.00115011
45,133.149,0.88575,1.31497,1.0832,1.82295,0,0.71759,0.75092,0.77154,0.54966,0.70357,0.72239,0.75415,0.47661,0.99691,1.66529,1.37968,2.07901,0,0.00113034,0.00113034,0.00113034
46,136.063,0.87589,1.33474,1.0908,1.81209,0,0.72219,0.66269,0.67887,0.46423,0.70306,0.65672,0.66992,0.39308,1.12733,1.86297,1.60078,2.17111,0,0.00111058,0.00111058,0.00111058
47,138.85,0.87841,1.25232,1.10287,1.82874,0,0.64961,0.70149,0.67514,0.45965,0.65044,0.69552,0.66584,0.38073,1.13142,1.94989,1.58734,2.13573,0,0.00109081,0.00109081,0.00109081
48,141.662,0.83775,1.26514,1.02661,1.79148,0,0.74097,0.69552,0.74506,0.51135,0.73521,0.68955,0.72867,0.43035,1.06415,1.76195,1.49239,2.12258,0,0.00107105,0.00107105,0.00107105
49,144.57,0.82209,1.27701,1.04025,1.79658,0,0.73252,0.67463,0.70673,0.50002,0.72552,0.66866,0.70065,0.41114,1.06207,1.88198,1.44094,2.08398,0,0.00105128,0.00105128,0.00105128
50,147.378,0.83139,1.25674,0.97302,1.79464,0,0.77366,0.69385,0.74591,0.51724,0.76051,0.68358,0.73378,0.42907,1.0406,1.85692,1.34663,2.13088,0,0.00103151,0.00103151,0.00103151
51,150.178,0.81446,1.25419,0.99314,1.77322,0,0.77517,0.7403,0.76551,0.53618,0.75673,0.73731,0.74646,0.43636,0.98427,1.70994,1.37151,2.05588,0,0.00101175,0.00101175,0.00101175
52,153.036,0.8011,1.24493,0.95488,1.77159,0,0.78348,0.69254,0.74538,0.53207,0.7792,0.69254,0.73677,0.46611,0.99314,1.69812,1.35141,2.01953,0,0.000991985,0.000991985,0.000991985
53,155.802,0.82999,1.24583,1.01252,1.78036,0,0.75105,0.70746,0.74896,0.53114,0.74721,0.70746,0.74713,0.44365,1.00363,1.7351,1.37445,2.05077,0,0.00097222,0.00097222,0.00097222
